halqa_id,name,political_party,votes_2013,,
PP-20,Aqeel Ahmed,Independent,238,,
PP-20,Chaudhary Ali Nasir Khan Bhatti,Pakistan Tehreek-e-Insaf,32827,,
PP-20,Chaudhary Ijaz Hussain Farhat,Independent,35570,,
PP-20,Chaudhary Liaqat Ali Khan,Pakistan Muslim League (N),62088,,
PP-20,Hafiz Abdul Ghaffar Sulamani,Jamiat Ulama-e-Islam (F),89,,
PP-20,Malik Muhammad Akhter Nawaz,Jamaat-e-Islami Pakistan,1266,,
PP-20,Moulana Muhammad Ayaz,Independent,903,,
PP-20,Raja Muhammad Gayas,Awami Muslim League Pakistan,172,,
PP-20,Rashid Gill,Muttahida Qaumi Movement Pakistan,77,,
PP-20,Shahjahan Sarfraz Raja,Millat Party,0,,
PP-20,Shahjahan Sarfraz Raja,Pakistan Peoples Party Parliamentarians,8082,,
PP-20,Sheikh Waqar Ali,Independent,10931,,
PP-21,Akhtar Hussain,Independent,35453,,
PP-21,Amir Nazar Awan,Muttahida Qaumi Movement Pakistan,140,,
PP-21,Muhammad Jahangir Malik,Tehreek-e-Tahafuze Pakistan,510,,
PP-21,Peer Shoukat Hussain Shah,Pakistan Tehreek-e-Insaf,24472,,
PP-21,Raja Asad Raza Janjua,Pakistan Peoples Party Parliamentarians,5302,,
PP-21,Raja Naveed Akhtar Satti,Independent,484,,
PP-21,Tanveer Aslam Malik,Pakistan Muslim League (N),75003,,
PP-22,DR MUHAMMAD TUFAIL,Independent,281,,
PP-22,FOZIA BEHRAM,Independent,489,,
PP-22,GHULAM HUSSAIN FAROOQI,Jamiat Ulama-e-Pakistan (Noorani),40,,
PP-22,MALIK ARSHAD HUSSAIN AWAN,Awami National Party,73,,
PP-22,MALIK HASSAN RAZA AGRAL,Tehreek-e-Tahafuze Pakistan,642,,
PP-22,MALIK SHABEER AHMAD,Independent,680,,
PP-22,MUHAMMMAD SALEEM BAKHTWAL,Independent,60,,
PP-22,MUNSAB KHAN,Independent,237,,
PP-22,PIR SYED NISAR QASIM JOJI,Pakistan Tehreek-e-Insaf,17728,,
PP-22,RAJA ZULIFQAR ALI,Independent,645,,
PP-22,SARDAR GHULAM ABBAS,Independent,48984,,
PP-22,SYED MUHAMMAD SAJJAD SHABEER BUKHARI,Majlis-e-Wahdat-e-Muslimeen Pakistan,1356,,
PP-22,SYED TAQI SHAH,Independent,3718,,
PP-22,ZUIFIQAR ALI KHAN,Pakistan Muslim League (N),57235,,
PP-23,ASIF ZAFAR LAWA,Independent,571,,
PP-23,COL (R)SULTAN SURKHRO AWAN,Pakistan Tehreek-e-Insaf,23578,,
PP-23,DR HAMEED ULLAH MALIK,Jamaat-e-Islami Pakistan,4445,,
PP-23,DR.SHAH NAWAZ AWAN,MUTAHIDA DEENI MAHAZ,1524,,
PP-23,MALIK MUHAMMAD NAWAZ,Independent,355,,
PP-23,MALIK MUHAMMAD ZAHOOR ANWAR,Pakistan Muslim League (N),54949,,
PP-23,MOLANA NABI BUKHSH CHISHTI,Awami Warkers Party,1351,,
PP-23,MUHAMMAD FAROOQ BHATI,All Pakistan Muslim League,39,,
PP-23,MUHAMMAD SHAFIQIE AWAN,Independent,185,,
PP-23,NISAR AHMED,Independent,105,,
PP-23,SARDAR AMJAD ILYAS KOTEHRA,Pakistan Muslim League,46231,,
PP-23,SYED MDHI UD DIN,Majlis-e-Wahdat-e-Muslimeen Pakistan,132,,
PP-24,Abdul Qayyum Choudhry,Pakistan Muslim League,13912,,
PP-24,Choudhry Farooq Ahmad,Jamaat-e-Islami Pakistan,996,,
PP-24,Fawad Ahmad,Independent,82,,
PP-24,Gul Zaman,Tehreek-e-Tahafuze Pakistan,940,,
PP-24,Iftikhar Ahmad,Independent,74,,
PP-24,Ismat Ali,Independent,538,,
PP-24,Khalid Mehmood Kayani,Independent,79,,
PP-24,Malik Sajid Mehmood,Independent,897,,
PP-24,Masood Iqbal,All Pakistan Muslim League,83,,
PP-24,Muhammad Ehsan,Independent,86,,
PP-24,Muhammad Imran,Muttahida Qaumi Movement Pakistan,367,,
PP-24,Muhammad Taj,Pakistan Tehreek-e-Insaf,27951,,
PP-24,Muhammad Tariq Kamal,Independent,521,,
PP-24,Raja Muhammad Awais Khan,Pakistan Muslim League (N),38604,,
PP-24,Raja Yawar Kamal Khan,Independent,15895,,
PP-25,Abid Hussain,Pakistan Tehreek-e-Insaf,28146,,
PP-25,Ammar Hamid,Independent,192,,
PP-25,Anwaar Ul Haq,Independent,243,,
PP-25,Arshad Khan,Independent,299,,
PP-25,Asfa Naveed Dar,Tehreek-e-Tahafuze Pakistan,595,,
PP-25,Ayyaz Mahmood,Independent,838,,
PP-25,Chaudhry Tasneem Nasir,Pakistan Peoples Party Parliamentarians,5788,,
PP-25,Choudhry Saeed Ahmad,Pakistan Muslim League,11306,,
PP-25,Fateh Khan,Muttahida Qaumi Movement Pakistan,143,,
PP-25,Imran Shakeel,Independent,535,,
PP-25,khalid Mehmood Kayani,Independent,24,,
PP-25,Mahar Muhammad Fayyaz,Pakistan Muslim League (N),48594,,
PP-25,Mohammad Umar Arshad,Independent,27,,
PP-25,Mohsin Ali,Majlis-e-Wahdat-e-Muslimeen Pakistan,859,,
PP-25,Mughal Muhammad Rafiq,Independent,1824,,
PP-25,Muhammad Amer Shahid Saleem Mir,Independent,41,,
PP-25,Qasim Mehmood,Jamaat-e-Islami Pakistan,1473,,
PP-25,Raja Imran Siddique,All Pakistan Muslim League,66,,
PP-25,Zahid Akhtar,Independent,12914,,
PP-26,AURANGZAIB CHAUDHRY,Pakistan Peoples Party Parliamentarians,2094,,
PP-26,CHAUDHRY LAL HUSSAIN,Pakistan Muslim League (N),44150,,
PP-26,MUHAMMAD AMIR SHAHID SALEEM MIR,Independent,27,,
PP-26,MUHAMMAD ARIF,Pakistan Muslim League,9198,,
PP-26,MUHAMMAD AZIZ,All Pakistan Muslim League,317,,
PP-26,MUJAHID MEHMOOD BABAR,Independent,682,,
PP-26,MUNIR HUSAIN SHAH,Muttahida Qaumi Movement Pakistan,59,,
PP-26,RAJA MUHAMMAD ZIA ASHRAF,Jamaat-e-Islami Pakistan,953,,
PP-26,RAJA WASEEM NAZIM,Independent,115,,
PP-26,SYED KHALIL HUSAIN,Pakistan Sunni Tehreek,48,,
PP-26,TAHIR JAMAL MIR,Independent,82,,
PP-26,UMAR SHAHID,Independent,234,,
PP-26,USMAN UR REHMAN CHOWHAN,Pakistan Tehreek-e-Insaf,28653,,
